CODE;PL
0300;Produkty rolnictwa, hodowli, rybołówstwa, leśnictwa i podobne
0310;Produkty rolnictwa i ogrodnictwa
0311;Rośliny uprawne, produkty warzywnictwa i ogrodnictwa
0312;Produkty ogrodnicze i szkółkarskie
0313;Rośliny wykorzystywane do produkcji napojów i przypraw
0314;Produkty zwierzęce i podobne
0320;Zboża, ziemniaki, warzywa, owoce i orzechy
0321;Zboża i ziemniaki
0322;Warzywa, owoce i orzechy
0330;Produkty hodowli, łowiectwa i rybołówstwa
0331;Ryby, skorupiaki i produkty wodne
0332;Bydło, zwierzęta gospodarskie i małe zwierzęta
0333;Produkty zwierząt hodowlanych
0334;Zawieszki do kolczykowania zwierząt
0340;Leśnictwo i pozyskiwanie drewna
0341;Drewno
0342;Kauczuk
0343;Korek
0344;Produkty leśnictwa
0345;Produkty szkółek leśnych
0346;Masa papiernicza
0900;Produkty naftowe, paliwo, energia elektryczna i inne źródła energii
0910;Paliwa
0911;Paliwa stałe
0912;Paliwa gazowe
0913;Ropa naftowa i destylaty
0920;Ropa naftowa, węgiel i produkty naftowe
0921;Preparaty smarowe
0922;Wazelina, woski i benzyny specjalne
0923;Ropa naftowa (surowa)
0924;Produkty pochodne ropy i węgla
0930;Energia elektryczna, cieplna, słoneczna i jądrowa
0931;Elektryczność
0932;Para, gorąca woda i podobne produkty
0933;Energia słoneczna
0934;Paliwa jądrowe
1400;Górnictwo, metale podstawowe i produkty pokrewne
1420;Piasek i glina
1421;Żwir, piasek, kamień kruszony i kruszywa
1422;Glinki i kaolin
1430;Minerały chemiczne i minerały do produkcji nawozów
1431;Minerały do produkcji nawozów
1432;Minerały chemiczne
1440;Sole i czysty chlorek sodu
1441;Sól kamienna
1442;Sól morska
1443;Sól warzona i czysty chlorek sodu
1445;Sól w solance
1450;Podobne produkty wydobywcze i kopalne
1452;"Kamienie szlachetne i półszlachetne; pumeks; szmergiel; materiały ścierne naturalne; inne minerały i metale szlachetne"
1460;Rudy i stopy metali
1461;Rudy metali
1462;Stopy
1463;Żużel, popioły, odpady żelaza i złom
1470;Metale zwykłe
1471;Żelazo, ołów, cynk, cyna i miedź
1472;Glin, nikiel, skand, tytan i wanad
1473;Chrom, mangan, kobalt, itr i cyrkon
1474;Molibden, technet, ruten i rod
1475;Kadm, lutet, hafn, tantal i wolfram
1476;Iryd, gal, ind, tal i bar
1477;Cez, stront, rubid i wapń
1478;Potas, magnez, sód i lit
1479;Niob, osm, ren i pallad
1480;Różne niemetalowe produkty mineralne
1481;Wyroby ścierne
1482;Szkło
1483;Włókno szklane
1490;Odzyskane surowce wtórne
1491;Odzyskane surowce wtórne z metalu
1492;Odzyskane surowce wtórne niemetalowe
1493;Pył i pozostałości zawierające metale
1500;Żywność, napoje, tytoń i produkty pokrewne
1510;Produkty zwierzęce, mięso i produkty mięsne
1511;Mięso
1513;Produkty mięsne
1520;Ryby przetworzone i konserwowane
1521;Filety rybne, wątróbki rybne i ikra
1522;Ryby mrożone, filety rybne i pozostałe mięso ryb
